"P09","P03","P13","P17","P18","P19","P02A","P05","P06","P08","P10","P11","P12","P15","P20","P21","P22","grupo_protesto","idade","renda","educação","ideologia","sexo","FATOR_POND"
8,6,10,8,8,1,10,10,10,8,10,4,2,2,8,4,0,"Não protestou",70,2,14,NA,"Masculino",1.08484251205192
10,10,10,10,10,10,10,10,10,8,10,10,10,10,5,8,0,"Não protestou",58,2,11,5,"Masculino",1.2545746531746
10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,2,0,"Não protestou",20,NA,15,5,"Feminino",0.998066898883635
9,9,8,8,8,9,10,10,10,7,10,10,10,8,8,8,7,"Já protestou",80,4,16,8,"Masculino",1.02300819062403
10,10,9,5,7,9,10,10,10,9,9,9,10,10,10,9,10,"Não protestou",35,2,14,10,"Masculino",0.651513528963887
7,6,9,8,5,4,6,2,2,5,6,5,4,5,6,3,0,"Não protestou",47,1,11,NA,"Feminino",1.03661564882051
9,10,10,10,10,10,10,0,6,10,10,8,10,8,9,10,0,"Não protestou",68,1,13,0,"Feminino",0.880648774044373
10,10,10,10,10,10,10,10,10,10,10,6,10,5,10,5,10,"Não protestou",22,1,14,0,"Masculino",0.973349542560094
5,5,10,10,5,8,8,5,5,8,5,5,5,8,5,5,5,"Não protestou",36,1,12,NA,"Feminino",0.835536448323642
10,9,10,10,10,10,10,10,10,10,10,10,10,0,10,8,0,"Não protestou",56,2,15,10,"Masculino",1.19848065906811
4,5,9,8,10,4,8,10,10,6,9,6,9,4,8,6,1,"Não protestou",67,1,1,0,"Masculino",1.12295693808093
8,10,10,10,10,10,5,10,5,10,10,10,5,5,10,10,0,"Não protestou",46,1,14,0,"Masculino",0.747089094471717
7,8,10,3,10,10,10,5,4,6,10,6,6,0,6,3,7,"Não protestou",45,NA,16,8,"Feminino",1.2580883725802
NA,10,10,10,10,10,10,10,NA,10,10,10,NA,NA,NA,0,0,"Não protestou",64,1,6,NA,"Feminino",1.03074248214451
10,9,10,5,10,0,10,9,10,5,5,0,10,10,5,5,0,"Pensou em protestar",67,3,16,8,"Masculino",1.33241744540244
10,10,10,5,10,7,10,10,10,10,10,10,10,0,10,0,0,"Não protestou",48,NA,14,10,"Feminino",1.14594439550344
10,10,10,8,10,10,10,10,10,7,10,10,10,NA,10,NA,5,"Pensou em protestar",21,3,14,8,"Masculino",1.20127402438624
9,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,10,"Não protestou",32,1,15,8,"Feminino",0.810067224587673
10,9,6,3,3,8,8,1,5,4,6,5,7,8,5,9,4,"Não protestou",76,1,8,4,"Feminino",0.847736829394164
10,10,10,10,10,10,10,7,9,10,8,10,10,7,10,9,0,"Não protestou",57,1,4,10,"Feminino",1.43010793005628
10,5,5,5,10,5,10,10,10,5,10,10,10,0,10,10,0,"Não protestou",43,2,9,10,"Masculino",0.678237860822381
6,10,10,10,10,10,10,6,5,9,10,8,10,5,8,10,0,"Não protestou",31,4,14,5,"Masculino",1.0838864859932
9,7,9,8,10,9,10,8,8,9,10,10,9,8,10,5,2,"Pensou em protestar",33,1,14,7,"Feminino",1.00680426244018
4,6,4,10,10,9,9,5,10,6,10,7,3,7,5,8,7,"Não protestou",18,1,12,10,"Masculino",0.938294948233897
4,5,10,10,10,4,10,10,10,10,10,10,10,3,10,10,10,"Não protestou",41,1,1,5,"Masculino",1.03567080737516
7,10,10,8,10,6,10,10,10,10,10,0,10,8,8,5,7,"Não protestou",28,3,16,7,"Feminino",1.55829261970153
10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,0,"Não protestou",73,1,1,10,"Feminino",0.922130839661451
7,7,10,10,10,10,10,9,10,10,10,5,10,9,9,9,10,"Não protestou",47,NA,8,0,"Feminino",0.902627612516255
8,10,6,9,7,7,8,10,10,8,10,10,10,5,10,10,5,"Pensou em protestar",57,1,9,8,"Masculino",1.0188316490999
7,6,9,10,10,7,9,10,5,8,9,8,10,8,8,3,6,"Não protestou",32,1,14,7,"Masculino",1.2553090756641
10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,"Não protestou",35,NA,14,0,"Feminino",0.796965259370574
10,10,10,1,10,5,10,10,10,0,10,5,0,7,10,7,0,"Já protestou",45,3,15,7,"Masculino",1.3557280155425
8,10,10,8,10,7,10,8,10,8,8,10,9,5,8,10,0,"Pensou em protestar",58,3,13,0,"Masculino",0.626659054711034
6,9,10,10,10,10,10,10,8,10,10,0,10,0,0,0,3,"Já protestou",41,4,14,1,"Masculino",1.08453123834954
10,10,10,5,10,10,10,10,10,5,10,0,10,0,5,2,10,"Pensou em protestar",44,2,14,2,"Masculino",0.852105875435693
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",53,1,11,NA,"Feminino",0.980427557970764
5,8,10,10,10,10,8,10,4,6,6,0,5,6,5,0,10,"Não protestou",39,2,11,10,"Masculino",0.873218283941002
7,0,10,10,10,10,10,10,10,10,10,5,10,0,5,0,0,"Não protestou",53,1,14,NA,"Masculino",0.804860315891924
10,10,10,0,10,0,10,10,10,10,10,10,10,10,0,10,0,"Não protestou",19,2,14,10,"Masculino",1.06266797681189
10,10,10,8,10,8,10,10,10,10,5,10,10,5,10,5,5,"Não protestou",38,3,12,6,"Feminino",0.836840019954257
5,6,10,10,10,7,10,7,5,6,10,10,8,7,10,6,1,"Não protestou",18,NA,14,8,"Masculino",0.934255708239391
10,10,9,10,10,10,10,0,0,8,9,10,10,6,10,7,0,"Não protestou",36,1,14,10,"Feminino",0.739267884229281
10,10,10,10,10,10,10,9,10,10,10,0,10,5,10,0,10,"Não protestou",31,1,10,5,"Feminino",1.35404109225443
10,5,10,10,10,10,10,10,10,10,10,10,10,0,10,1,0,"Não protestou",54,2,14,NA,"Feminino",1.20210838267737
8,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,"Pensou em protestar",37,3,15,2,"Masculino",0.876263733011027
8,10,8,10,10,10,10,3,10,5,3,6,10,5,4,0,0,"Não protestou",37,3,15,NA,"Feminino",1.13263520340799
10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,0,0,"Pensou em protestar",60,3,15,5,"Masculino",0.943026188352001
10,10,5,7,10,3,8,9,10,10,10,10,10,5,5,10,0,"Não protestou",60,1,15,5,"Feminino",0.913773179538357
9,8,10,10,9,10,10,10,9,9,10,0,9,10,9,0,9,"Já protestou",40,1,15,6,"Feminino",1.34115231643263
10,10,10,9,6,10,10,10,10,6,10,10,10,10,10,10,10,"Não protestou",61,1,7,0,"Feminino",0.966759739651554
6,9,5,4,6,6,8,7,8,5,7,7,8,6,3,5,2,"Não protestou",54,NA,13,3,"Masculino",0.890413667976906
3,7,10,10,10,6,0,2,0,1,0,0,0,7,0,0,0,"Não protestou",32,1,13,4,"Feminino",0.977003036704914
2,8,3,6,7,7,10,7,6,8,4,3,3,4,7,10,9,"Não protestou",44,NA,11,0,"Masculino",0.751011076515252
10,10,10,10,10,6,7,10,10,10,10,7,10,7,6,8,2,"Pensou em protestar",22,2,14,NA,"Masculino",0.79209213149411
9,9,10,10,10,10,10,9,9,10,10,10,10,9,10,1,3,"Não protestou",58,NA,13,5,"Feminino",0.725786636624318
5,10,10,10,7,9,10,0,9,10,8,9,0,4,10,6,0,"Não protestou",59,1,7,9,"Feminino",0.979522716030522
8,2,5,3,7,4,9,4,3,8,9,10,6,2,6,6,5,"Não protestou",60,1,4,6,"Masculino",1.64515695035528
10,1,5,5,7,6,4,3,6,5,2,7,9,10,4,1,9,"Não protestou",45,1,8,5,"Masculino",0.946801393670616
7,10,7,10,6,7,7,10,10,10,6,7,10,5,10,7,7,"Não protestou",50,3,16,0,"Feminino",0.818272982579489
10,10,10,8,10,10,10,10,10,10,10,10,9,8,8,10,0,"Não protestou",48,6,8,10,"Masculino",1.21891457735638
7,5,10,5,10,9,10,4,5,7,6,4,8,5,8,5,5,"Não protestou",46,1,7,4,"Masculino",1.1567286889658
10,10,10,10,10,10,10,10,10,9,10,6,10,10,10,2,10,"Não protestou",59,NA,14,4,"Feminino",0.803661716305097
10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0,"Já protestou",59,5,11,0,"Masculino",0.878427097197265
10,7,10,10,10,8,9,10,9,8,9,7,10,7,7,10,7,"Não protestou",43,1,9,10,"Masculino",1.52063127976243
7,10,10,10,10,8,10,0,6,10,10,8,10,5,10,7,0,"Não protestou",30,2,14,8,"Masculino",1.11710114135232
10,9,9,8,10,9,10,7,8,10,10,10,8,7,8,7,5,"Não protestou",23,NA,15,10,"Feminino",1.16377928882629
7,8,10,8,10,7,9,6,7,10,10,7,5,7,8,10,0,"Já protestou",66,3,15,5,"Feminino",0.974824471006391
10,10,10,10,10,10,10,10,10,9,10,10,10,5,10,10,0,"Não protestou",54,2,7,5,"Masculino",1.36955127343635
10,10,10,8,10,5,8,7,6,5,10,10,8,9,7,9,6,"Não protestou",44,1,7,8,"Feminino",1.77811167881024
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,"Já protestou",61,1,14,0,"Feminino",0.754789268396869
NA,7,10,9,10,NA,10,NA,10,NA,8,8,10,NA,NA,NA,NA,"Não protestou",68,1,7,NA,"Feminino",1.13157427528434
7,7,6,5,10,5,10,10,10,7,10,10,10,7,10,7,7,"Não protestou",59,NA,11,5,"Masculino",1.0354390838277
8,10,10,10,10,10,10,9,7,10,7,10,9,6,8,10,5,"Não protestou",27,1,14,6,"Feminino",0.857073073003495
10,10,10,10,10,10,10,8,10,10,10,10,10,9,6,8,8,"Já protestou",54,1,4,1,"Feminino",0.934304633875472
7,8,10,10,10,10,10,6,4,8,10,4,7,8,8,8,5,"Não protestou",44,1,8,5,"Masculino",0.810257548838159
6,7,8,8,10,5,6,3,7,8,6,8,7,7,7,6,4,"Já protestou",37,1,14,NA,"Masculino",0.970532194485792
2,9,10,1,7,8,4,7,2,9,10,0,8,9,3,2,2,"Não protestou",73,1,8,2,"Masculino",0.956808232722851
10,8,10,8,10,10,10,10,10,10,10,5,6,0,3,0,0,"Pensou em protestar",36,4,16,0,"Feminino",0.85259980655027
10,8,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,"Não protestou",36,4,7,8,"Masculino",0.922523211999228
9,10,5,10,8,6,8,0,10,1,9,9,10,9,10,1,0,"Não protestou",61,5,7,8,"Feminino",1.22114191448511
10,10,10,10,10,0,10,10,10,10,0,0,10,10,10,0,0,"Não protestou",56,2,4,10,"Masculino",1.23478449224701
10,10,10,5,10,0,10,5,10,10,10,10,10,2,7,7,0,"Pensou em protestar",23,2,14,4,"Masculino",1.38103760334618
10,0,8,5,0,5,8,10,10,7,10,10,7,1,0,10,0,"Não protestou",67,1,12,10,"Masculino",1.21364789414474
5,7,10,5,8,10,10,8,8,6,10,7,7,6,6,6,7,"Pensou em protestar",28,1,12,3,"Feminino",0.898895032974313
10,9,10,8,10,9,5,2,8,6,5,10,9,3,7,5,1,"Não protestou",45,1,10,8,"Feminino",1.38275632475294
10,10,10,10,10,0,10,10,10,8,10,0,10,0,0,5,0,"Não protestou",27,1,14,0,"Masculino",1.41645188223759
10,10,10,6,9,9,9,8,9,9,9,10,10,3,9,8,0,"Não protestou",45,3,16,9,"Feminino",1.50455909029801
9,9,10,9,9,8,8,9,9,9,9,8,8,7,8,5,9,"Não protestou",17,NA,14,10,"Masculino",0.998423932903769
10,8,10,0,5,2,0,10,10,2,0,0,5,5,0,7,0,"Não protestou",17,NA,14,0,"Feminino",0.944585957369995
9,10,10,10,10,7,10,7,9,10,9,10,10,4,9,10,0,"Não protestou",76,1,13,9,"Feminino",0.739047578289267
